date,asthma,copd,ihd,month,year
2014-01-01,4510,73038,700,1,2014
2014-02-01,3933,64946,612,2,2014
2014-03-01,3961,69802,570,3,2014
2014-04-01,3470,65011,712,4,2014
2014-05-01,3861,65504,703,5,2014
2014-06-01,3915,63536,709,6,2014
2014-07-01,3948,64355,774,7,2014
2014-08-01,4136,62949,620,8,2014
2014-09-01,4762,66514,725,9,2014
2014-10-01,6251,87466,1011,10,2014
2014-11-01,5733,80243,874,11,2014
2014-12-01,6759,85998,925,12,2014
2015-01-01,6794,89837,892,1,2015
2015-02-01,5829,83202,895,2,2015
2015-03-01,6346,89781,919,3,2015
2015-04-01,5155,80493,782,4,2015
2015-05-01,4939,79796,873,5,2015
2015-06-01,5753,78479,890,6,2015
2015-07-01,5814,74518,889,7,2015
2015-08-01,4872,72221,907,8,2015
2015-09-01,2877,45589,599,9,2015
2015-10-01,6883,90751,1103,10,2015
2015-11-01,6528,86307,988,11,2015
2015-12-01,6627,87817,1036,12,2015
2016-01-01,6960,87802,912,1,2016
2016-02-01,6847,88379,1006,2,2016
2016-03-01,6771,95195,1175,3,2016
2016-04-01,5590,81341,956,4,2016
2016-05-01,5684,82369,1067,5,2016
2016-06-01,6376,83772,1151,6,2016
2016-07-01,5856,78668,865,7,2016
2016-08-01,6740,86687,1188,8,2016
2016-09-01,6682,85375,1056,9,2016
2016-10-01,6905,90406,1303,10,2016
2016-11-01,7012,89688,1307,11,2016
2016-12-01,6699,87771,1259,12,2016
2017-01-01,6689,89197,1210,1,2017
2017-02-01,6419,83706,1115,2,2017
2017-03-01,6947,93318,1114,3,2017
2017-04-01,5313,78556,1093,4,2017
2017-05-01,6063,87147,1249,5,2017
2017-06-01,6980,85093,1137,6,2017
2017-07-01,6028,80257,1099,7,2017
2017-08-01,6275,86298,1221,8,2017
2017-09-01,6194,82751,1160,9,2017
2017-10-01,6359,89850,1313,10,2017
2017-11-01,6572,90356,1332,11,2017
2017-12-01,6013,87688,1040,12,2017
2018-01-01,6176,93898,1253,1,2018
2018-02-01,5445,85907,1157,2,2018
2018-03-01,5598,90389,1033,3,2018
2018-04-01,4690,81833,928,4,2018
2018-05-01,5378,87785,1010,5,2018
2018-06-01,5552,82823,1278,6,2018
2018-07-01,5329,80224,1161,7,2018
2018-08-01,3862,67146,772,8,2018
2018-09-01,665,10707,101,9,2018
2018-10-01,6611,91710,1177,10,2018
2018-11-01,6644,87916,1415,11,2018
2018-12-01,6147,84202,1217,12,2018
2019-01-01,6873,92060,1389,1,2019
2019-02-01,6036,83059,1209,2,2019
2019-03-01,6226,88208,1287,3,2019
2019-04-01,5386,83807,1283,4,2019
2019-05-01,5567,82714,1188,5,2019
2019-06-01,5834,79974,1230,6,2019
2019-07-01,5582,80929,1157,7,2019
2019-08-01,5612,81027,1084,8,2019
2019-09-01,5930,82285,1072,9,2019
2019-10-01,6001,87250,1320,10,2019
2019-11-01,5904,83857,1116,11,2019
2019-12-01,5516,84100,1066,12,2019
2020-01-01,6613,92960,1186,1,2020
2020-02-01,5884,81572,1023,2,2020
2020-03-01,5742,88062,1045,3,2020
2020-04-01,4365,71925,839,4,2020
2020-05-01,4104,65646,874,5,2020
2020-06-01,4573,72891,1066,6,2020
2020-07-01,4323,70398,979,7,2020
2020-08-01,4837,73527,992,8,2020
2020-09-01,4624,71657,1034,9,2020
2020-10-01,5031,74329,1123,10,2020
2020-11-01,5281,76169,1095,11,2020
2020-12-01,5029,77945,1042,12,2020
2021-01-01,5028,78793,968,1,2021
2021-02-01,4279,69106,990,2,2021
2021-03-01,5054,81412,1108,3,2021
2021-04-01,3783,71727,825,4,2021
2021-05-01,3752,66488,873,5,2021
2021-06-01,3657,66685,974,6,2021
2021-07-01,3482,60363,909,7,2021
2021-08-01,3135,60097,788,8,2021
2021-09-01,1129,26062,324,9,2021
