date,rti,year,month
2011-01-01,2068,2554,1
2011-02-01,1859,2554,2
2011-03-01,1987,2554,3
2011-04-01,1907,2554,4
2011-05-01,1763,2554,5
2011-06-01,1678,2554,6
2011-07-01,1709,2554,7
2011-08-01,1706,2554,8
2011-09-01,1536,2554,9
2011-10-01,1779,2554,10
2011-11-01,1925,2554,11
2011-12-01,2079,2554,12
2012-01-01,1968,2555,1
2012-02-01,1840,2555,2
2012-03-01,2109,2555,3
2012-04-01,1963,2555,4
2012-05-01,1697,2555,5
2012-06-01,1680,2555,6
2012-07-01,1724,2555,7
2012-08-01,1597,2555,8
2012-09-01,1496,2555,9
2012-10-01,1723,2555,10
2012-11-01,1853,2555,11
2012-12-01,1953,2555,12
2013-01-01,1936,2556,1
2013-02-01,1767,2556,2
2013-03-01,1983,2556,3
2013-04-01,1856,2556,4
2013-05-01,1717,2556,5
2013-06-01,1671,2556,6
2013-07-01,1657,2556,7
2013-08-01,1540,2556,8
2013-09-01,1502,2556,9
2013-10-01,1675,2556,10
2013-11-01,1909,2556,11
2013-12-01,2008,2556,12
2014-01-01,2091,2557,1
2014-02-01,1897,2557,2
2014-03-01,2080,2557,3
2014-04-01,1764,2557,4
2014-05-01,1682,2557,5
2014-06-01,1565,2557,6
2014-07-01,1459,2557,7
2014-08-01,1493,2557,8
2014-09-01,1410,2557,9
2014-10-01,1644,2557,10
2014-11-01,1730,2557,11
2014-12-01,1972,2557,12
2015-01-01,1786,2558,1
2015-02-01,1596,2558,2
2015-03-01,1726,2558,3
2015-04-01,1799,2558,4
2015-05-01,1574,2558,5
2015-06-01,1499,2558,6
2015-07-01,1477,2558,7
2015-08-01,1456,2558,8
2015-09-01,1473,2558,9
2015-10-01,1672,2558,10
2015-11-01,1860,2558,11
2015-12-01,2041,2558,12
2016-01-01,2023,2559,1
2016-02-01,1956,2559,2
2016-03-01,1999,2559,3
2016-04-01,1973,2559,4
2016-05-01,1645,2559,5
2016-06-01,1661,2559,6
2016-07-01,1686,2559,7
2016-08-01,1554,2559,8
2016-09-01,1598,2559,9
2016-10-01,1708,2559,10
2016-11-01,1860,2559,11
2016-12-01,2082,2559,12
2017-01-01,2018,2560,1
2017-02-01,1902,2560,2
2017-03-01,2036,2560,3
2017-04-01,1827,2560,4
2017-05-01,1688,2560,5
2017-06-01,1723,2560,6
2017-07-01,1509,2560,7
2017-08-01,1568,2560,8
2017-09-01,1671,2560,9
2017-10-01,1742,2560,10
2017-11-01,1827,2560,11
2017-12-01,2096,2560,12
2018-01-01,1841,2561,1
2018-02-01,1772,2561,2
2018-03-01,1904,2561,3
2018-04-01,1763,2561,4
2018-05-01,1593,2561,5
2018-06-01,1470,2561,6
2018-07-01,1504,2561,7
2018-08-01,1469,2561,8
2018-09-01,1437,2561,9
2018-10-01,1550,2561,10
2018-11-01,1788,2561,11
2018-12-01,1839,2561,12
2019-01-01,1908,2562,1
2019-02-01,1758,2562,2
2019-03-01,1853,2562,3
2019-04-01,1781,2562,4
2019-05-01,1570,2562,5
2019-06-01,1584,2562,6
2019-07-01,1548,2562,7
2019-08-01,1443,2562,8
2019-09-01,1393,2562,9
2019-10-01,1570,2562,10
2019-11-01,1662,2562,11
2019-12-01,1834,2562,12
2020-01-01,1679,2563,1
2020-02-01,1628,2563,2
2020-03-01,1614,2563,3
2020-04-01,916,2563,4
2020-05-01,1296,2563,5
2020-06-01,1281,2563,6
2020-07-01,1424,2563,7
2020-08-01,1452,2563,8
2020-09-01,1388,2563,9
2020-10-01,1602,2563,10
2020-11-01,1707,2563,11
2020-12-01,1844,2563,12
2021-01-01,1558,2564,1
2021-02-01,1623,2564,2
2021-03-01,1828,2564,3
2021-04-01,1433,2564,4
2021-05-01,1301,2564,5
2021-06-01,1222,2564,6
2021-07-01,1147,2564,7
2021-08-01,1172,2564,8
2021-09-01,1092,2564,9
